tanggal,stasiun,pm10,so2,co,o3,no2,max,critical,categori,,,,,,,,,,,,
2019-05-16,DKI3 (Jagakarsa),57,11,17,111,9,111,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-17,DKI3 (Jagakarsa),57,11,17,88,14,88,O3,SEDANG,,,,,,,,,,,,
2019-05-18,DKI3 (Jagakarsa),54,13,17,111,21,111,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-19,DKI3 (Jagakarsa),86,12,31,92,14,92,O3,SEDANG,,,,,,,,,,,,
2019-05-20,DKI3 (Jagakarsa),67,14,12,85,9,85,O3,SEDANG,,,,,,,,,,,,
2019-05-21,DKI3 (Jagakarsa),67,12,18,98,9,98,O3,SEDANG,,,,,,,,,,,,
2019-05-22,DKI3 (Jagakarsa),65,14,15,99,9,99,O3,SEDANG,,,,,,,,,,,,
2019-05-23,DKI3 (Jagakarsa),56,12,11,66,7,66,O3,SEDANG,,,,,,,,,,,,
2019-05-24,DKI3 (Jagakarsa),65,13,17,64,12,65,PM10,SEDANG,,,,,,,,,,,,
2019-05-25,DKI3 (Jagakarsa),64,12,21,104,13,104,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-26,DKI3 (Jagakarsa),66,12,19,88,10,88,O3,SEDANG,,,,,,,,,,,,
2019-05-27,DKI3 (Jagakarsa),71,11,20,101,8,101,O3,TIDAK SEHAT,,,,,,,,,,,,
2019-05-28,DKI3 (Jagakarsa),67,12,13,84,9,84,O3,SEDANG,,,,,,,,,,,,
2019-05-29,DKI3 (Jagakarsa),56,12,12,86,7,86,O3,SEDANG,,,,,,,,,,,,
2019-05-30,DKI3 (Jagakarsa),53,11,14,84,6,84,O3,SEDANG,,,,,,,,,,,,
2019-05-31,DKI3 (Jagakarsa),55,11,13,89,6,89,O3,SEDANG,,,,,,,,,,,,
2019-05-01,DKI4 (Lubang Buaya),41,21,26,---,9,41,PM10,BAIK,,,,,,,,,,,,
2019-05-02,DKI4 (Lubang Buaya),---,---,---,---,---,0,,TIDAK ADA DATA,,,,,,,,,,,,
2019-05-03,DKI4 (Lubang Buaya),50,26,13,90,7,90,O3,SEDANG,,,,,,,,,,,,
2019-05-04,DKI4 (Lubang Buaya),57,22,21,---,6,57,PM10,SEDANG,,,,,,,,,,,,
