pm10,so2,co,o3,no2,categori
32.0,20.0,28.0,28.0,8.0,1
33.0,19.0,33.0,27.0,8.0,1
32.0,21.0,21.0,31.0,9.0,1
24.0,19.0,15.0,36.0,8.0,1
10.0,10.0,7.0,44.0,4.0,1
7.0,11.0,6.0,44.0,3.0,1
9.0,10.0,6.0,35.0,2.0,1
39.0,12.0,10.0,26.0,5.0,1
33.0,12.0,9.0,45.0,5.0,1
59.0,14.0,25.0,63.0,10.0,0
33.0,15.0,13.0,95.0,12.0,0
24.0,13.0,10.0,76.0,12.0,0
44.0,13.0,20.0,64.0,21.0,0
12.0,11.0,18.0,49.0,16.0,1
63.0,13.0,22.0,39.0,11.0,0
45.0,21.0,19.0,47.0,16.0,1
53.0,12.0,19.0,70.0,11.0,0
41.0,13.0,20.0,49.0,15.0,1
46.0,25.0,13.0,59.0,13.0,0
25.0,14.0,8.0,43.0,6.0,1
46.0,15.0,12.0,49.0,10.0,1
16.0,11.0,7.0,31.0,1.0,1
22.0,9.0,16.0,45.0,8.0,1
69.0,9.0,39.0,63.0,10.0,0
56.0,9.0,22.0,59.0,7.0,0
16.0,9.0,18.0,41.0,8.0,1
52.0,9.0,28.0,36.0,11.0,0
48.0,9.0,17.0,37.0,8.0,1
53.0,9.0,31.0,53.0,15.0,0
49.0,9.0,34.0,44.0,9.0,1
32.0,9.0,17.0,37.0,8.0,1
20.0,5.0,22.0,44.0,9.0,1
44.0,16.0,12.0,49.0,8.0,1
30,20,10,32,9,1
27,22,12,29,8,1
39,22,14,32,10,1
34,22,14,38,10,1
35,22,12,31,9,1
46,23,16,32,9,1
37,23,26,33,11,1
41,26,20,30,11,1
52,23,29,24,12,0
24,24,18,25,8,1
34,31,25,23,8,1
27,23,9,33,4,1
33,26,12,36,8,1
34,28,13,27,7,1
29,22,13,36,8,1
52,60,19,30,8,0
51,34,21,74,20,0
37,29,14,31,6,1
61,34,36,58,15,0
47,30,15,33,9,1
30,36,14,26,9,1
40,36,18,28,15,1
49,11,23,38,19,1
38,12,21,35,20,1
44,10,22,25,16,1
31,7,8,41,5,1
23,7,9,35,6,1
47,7,16,45,8,1
45,7,10,44,8,1
